Blocks,Age,Faults,Time,Result,Output
5,17,20,170,0.451,0
19,0,0,807,0.033,0
11,4,3,396,0.165,0
18,6,0,704,0.875,1
19,3,0,880,0.26,0
19,5,0,743,0.637,0
18,2,0,771,0.164,0
18,1,0,683,0.088,0
5,18,20,170,0.502,0
19,1,0,807,0.081,0
11,5,3,396,0.236,0
19,0,0,757,0.034,0
19,4,0,880,0.398,0
19,6,0,743,0.861,1
18,3,0,771,0.279,0
18,2,0,683,0.178,0
5,19,20,170,0.557,0
19,2,0,807,0.162,0
11,6,3,396,0.32,0
19,1,0,757,0.084,0
19,5,0,880,0.566,0
20,0,0,838,0.032,0
18,4,0,771,0.426,0
18,3,0,683,0.302,0
5,20,20,170,0.614,1
19,3,0,807,0.276,0
11,7,3,396,0.416,0
19,2,0,757,0.169,0
19,6,0,880,0.765,1
20,1,0,838,0.081,0
18,5,0,771,0.607,0
18,4,0,683,0.463,0
6,0,20,212,0.002,0
19,4,0,807,0.422,0
11,8,3,396,0.526,0
19,3,0,757,0.288,0
20,0,0,904,0.031,0
20,2,0,838,0.162,0
18,6,0,771,0.82,1
18,5,0,683,0.66,0
